id,localidad,direccion,marca,telefono,horario,latitud,longitud,fecha
37716,Bizkaia,Sestao,"CR BI-3745, P.K. 9,2 M IZD",Repsol,944 377 395,L-D 24 horas,43.298541,-3.003047
37717,Valencia,Oliva,"CR N-332, P.K. 209,5",Repsol,962 855 618,Cerrado noches,38.894473,-0.072981
37719,Torre del Mar,"AV DE ANDALUCIA, 14",Repsol,952 542 204,L-D 24 Horas,36.747602,-4.082871,2014-09-04
37720,Valencia,Alboraya,"CL VIA DEL FERROCARRIL, 8-10, POL. IND. N&deg;3",Repsol,961 861 627,Cerrado Noches,39.500158,-0.346135
37721,Albacete,Almansa,"CL AVDA. DE AYORA, S.N.",Repsol,967 342 398,Cerrado Noches,38.874881,-1.100374
37722,Alava,Altube,"AU AP-68, 36",Repsol,945 462 694,Cerrado Noches,42.966417,-2.870105
37723,Ciudad Real,Alc&aacute;zar de San Juan,"CR N-420, 284,7",Repsol,926 550 555,Cerrado Noches,39.387275,-3.231993
37724,Alcal&aacute; de Guada&iacute;ra,"CTRA. A-360 KM 4,4",Agla,954 89 43 19,L-S: 06:00 a 22:00 D: 07:00 a 14:30,37.295829,-5.789597,2014-09-26
37725,Montornes del valles,"Avda. del Riu Mogent, 3",Repsol,935 723 420,L-D: 24 Horas,41.548544,2.265424,2014-09-26
37726,Jerez de la Frontera,"Avda. Presedente Adolfo Suarez, 3-4",Repsol,956 307 493,L-D: 14 horas,36.706748,-6.124965,2014-09-26
37727,Ciudad Real,Puertollano,"CR N-420, 160",Repsol,L-D: 24 Horas,926 414 332,38.697841,-4.105846
37728,Zamora,C/ Villalpando esquina C/ Cuesta del Balon,Repsol,980 670 386,Cerrado Noches,41.511188,-5.74731,2014-10-17
37729,Cantabria,Pesu&eacute;s,"Crta. N-634, Km. 279",Avia,942 717 044,L-D: 24 horas,43.37528,-4.503261
37730,Ourense,Pereiro de Aguiar,"Parque Empresarial de Pereiro de Aguiar, parcela S-2",Shell,988256336,L-D: 24 horas,42.318451,-7.80524
37731,Barcelona,"Avenida Sarr&iacute;a, 126",Repsol,932 031 488,L-D: 24 Horas,41.392345,2.132376,2014-10-17
37732,Madrid,Galapagar,"CR M-510, 1,8",Repsol,918 492 558,Cerrado Noches,40.625529,-4.027866
37733,Sevilla,"CR N-4, p.k. 548",Repsol,954 680 169,L-D 24 Horas,37.338346,-5.971146,2014-11-07
37734,Estepa,"CR A-92, p.k. 110,1",Repsol,955 912 897,Cerrado Noches,37.302341,-4.880538,2014-11-07
37735,Miranda de Ebro,"CR N-1, p.k.318",Repsol,947 336 022,Cerrado Noches,42.688374,-2.953017,2014-11-07
37736,Madrid,Madrid,"CR M-607, p.k. 10,5",Repsol,917 343 038,Cerrado Noches,40.499434,-3.698049
37737,Las Palmas,Las Palmas de Gran Canaria,"C/ Eufemiano Jurado, 4",Disa,928420282,L-D 24 Horas,28.096189,-15.415461
37738,Toledo,Cazalegas,Ctra. A-5. p.k 103.2,Repsol,925 872 532,Cerrado noches,39.993495,-4.691766
37739,Marbella,"N-340 (A-7), p.k 192.5",Repsol,952 831 256,L-D 24 Horas,36.49363,-4.764465,2014-12-15
37740,Benavente,"Ctra. N-6 p,k 260,5 izq",Repsol,980 630 556,L-D 24 Horas,41.992288,-5.647191,2014-12-15
37741,Pontevedra,Lalin,"Avenida de Buenos Aires , S/N",Repsol,986 787 164,Cerrado Noches,42.654955,-8.11192
37742,Asturias,Gijon,"Ctra AS-248 Gijon-Pola de Siero, 20",Repsol,,L-D 24 Horas,43.525417,-5.655838
37743,Navarra,Tafalla,Avenida de Pamplona S/N,Repsol,948 702 918,Cerrado Noches,42.534149,-1.670824
37744,Madrid,Mostoles,"Ctra A-5, p,k 21",Repsol,916 643 503,L-D 24 Horas,40.316675,-3.897696
37745,Figueres,"Ctra. C-260 p,k 27,5",Repsol,972 671 049,L-D 24 Horas,42.266655,2.981626,2014-12-15
37746,Caceres,C&aacute;ceres,"CR N-521, 45",Repsol,927 210 944,Cerrado Noches,39.481885,-6.362825
37747,"A CoruF»Ameixeira""","Autov&iacute;a AP-9, p.k. 39,5, M.I.",Repsol,981 682 604,Cerrado Noches,43.099338,-8.349484,2015-02-05
37748,Alicante,Orihuela,"CR N-340, p.k. 688,6",Repsol,965 304 081,Cerrado Noches,38.106179,-0.931867
37749,Asturias,Gij&oacute;n,"Avda. Constituci&oacute;n, 220",Repsol,985 152 865,L-D 24 Horas,43.522259,-5.683549
37750,Pontevedra,Vigo,"Avda. de Madrid, 66",Repsol,986 418 452,Cerrado Noches,42.224497,-8.711818
37751,Sant Cugat del Valles,"Autopista E-9, p.k. 6,50",Repsol,935 879 405,L-D 24 Horas,41.433356,2.078238,2015-02-05
37752,Torroella del Mongri,"Ctra. Torroella a L&rsquo;estartit, Km 2",Repsol,972 761 312,Cerrado Noches,42.042536,3.140667,2015-02-05
37756,Santa Cruz De Tenerife,Candelaria,"Ctra Las Bichas TF-612, s/n",Disa,608 290 268,,28.35686,-16.371963
