id,localidad,direccion,marca,telefono,horario,latitud,longitud,fecha
37882,Bizkaia,Otxandio,"Carretera Foral 623, km 44 - 48210 Otxandio (Bizkaia)",AVIA,945 450 241,L-D: 06-22:00 horas,43.063.459,-2.662.007
37883,Madrid,Madrid,Calle Sangenjo S/N,REPSOL,913781405,24 HORAS,40.483.275,-3.705.384
37884,Ourense,Xinzo de Limia,"A, Pista da Devesa, 32630 Xinzo de Limia, Ourense",REPSOL,988 460 114,,42.076.028,-7.727.101
37885,M!ga,"CR A-45 P.K. 165,00 I, M!ga",REPSOL,,24 HORAS,36.768.697,-4.424.368,2019-07-26
37886,"Coria del Râ;Av. de Blas Infante, 41, 41100 Coria del Rì Sevilla""",REPSOL,,,37.278.004,-6.058.129,2019-07-26,
37887,Madrid,San Fernando de Henares,"Calle Cerrajeros 10 Canteros C, V, 28830 San Fernando de Henares, Madrid",BP,913 407 662,24 HORAS,40.441.653,-3.501.390
37888,Madrid,Rivas-Vaciamadrid,"CR N-3 ,P.K. 14,40 M.D, 28051 Rivas-Vaciamadrid, Madrid",REPSOL,,,40.357.597,-3.559.035
37889,Madrid,Madrid,"CR M-50 P.K. 34 D, 28051 Madrid",REPSOL,917 653 283,,40.346.262,-3.587.544
37890,Madrid,Parla,"Calle Buenavista, 2, 28980 Parla, Madrid",GALP,916 058 526,L-D: 06-24:00 horas,40.251.466,-3.764.336
37891,Madrid,Alcal$e Henares,"N-II, KM 29 - Subida",GALP,918 886 680,21 HORAS,40.493.423,-3.386.689
37892,Madrid,Alcal$e Henares,"N-II, KM 29 - Bajada",GALP,918 897 058,22 HORAS,40.494.337,-3.387.853
37893,Madrid,Alcobendas,"Ctra. Antigua Nacional I KM 15,5",GALP,916 519 839,23 HORAS,40.532.889,-3.642.261
37894,Madrid,Fuenlabrada,"Calle Luis Sauquillo, 92",GALP,916 977 184,24 HORAS,40.275.079,-3.805.384
37895,Madrid,Madrid,"Niceto Alcalamora, 20",GALP,917 188 161,24 HORAS,40.494.072,-3.648.116
37896,Madrid,Madrid,Av. Vic6aro esq. Pobladura del Valle,GALP,917 756 998,24 HORAS,40.426.602,-3.611.691
37897,Madrid,Madrid,"Av. Arcentales, 7",GALP,913 274 955,24 HORAS,40.426.641,-3.626.051
37898,Madrid,Madrid,"C/ Sinieso Delgado, 15",GALP,913 235 345,24 HORAS,40.473.840,-3.701.391
37899,Madrid,Madrid,"Camino del cuartel, 9",GALP,913 054 728,24 HORAS,40.467.967,-3.578.741
37900,Madrid,Pinto,Ctra. M506 km24,GALP,916 916 801,24 HORAS,40.255.328,-3.727.283
37901,C)z,Avenida de la Ilustraciz  - Cadiz,REPSOL,956 294 435,L-D: 06-22:00 horas,36.508.191,-6.268.251,2019-07-26
37902,C)z,"Avenida de Algeciras, 9 - C)z",HEMEGAS,956 715 187,24 HORAS,36.498.217,-6.267.455,2019-07-26
37903,"A CoruF»Carballo""","Avda Malpica, 80-84",REPSOL,981 755 452,L-D: 7:00 a 23:00 horas,43.220015,-8.702042,2019-08-27
37904,Avila,"Calle Hornos Caleros, SN",REPSOL,920 220 699,L-D: 7:00 a 23:00 horas,40.649049,-4.673364,2019-08-27
37905,Lugo,Monforte de Lemos,"Rua de Chantada, SN",REPSOL,982 405 127,24 horas,42.525807,-7.527201
37906,Madrid,Madrid,"Avenida Albufera, 319",REPSOL,913 310 590,24 horas,40.384426,-3.632624
37907,Murcia,La Aljorra,"CR. Mu-602 11,30 - 30390 La Aljorra",REPSOL,968 551 035,24 horas,37.686625,-1.066229
37908,Navarra,Pamplona,"Calle Mari Abrego, 5 | 31006",REPSOL,948 835 233,L-D: 7:00 a 23:00 horas,42.797616,-1.645218
37910,Albacete,Hellin,A-30 KM 63,PetroEspaF¥s,965 751 169,L-D: 24 Horas,38.496059,-1.636594
37911,Madrid,Morazarzal,"Calle Lago Ontario, 24, A",CEPSA,910 53 17 31,L-D: 6:00 a 00:00 horas,40.671905,-3.972761
37912,Lucena,"Av. de la Guardia Civil, 9",Enerplus,957 59 18 54,L-D: 6:00 a 22:00 horas,37.405427,-4.494018,2020-02-14
37913,Murcia,San Javier,"Av. Pinatar, 78,",Hijos de Navarro Robles S.L.,968 54 74 06,L-D: 24 Horas,37.81728,-0.819
37914,Castell-Platja d\'Aro,"Avenida Carrilet, 36",Epsilon Plus,669 411 899,L-D: 24 Horas,41.813801,3.030311,2020-06-04
37915,La Carlota,Crta. A4 Madrid - Cadiz KM. 441,E.S. El Empalme,957 033 940,L-D: 6:00 a 23:00 horas,37.602845,-4.972593,2020-06-29
37916,Madrid,Guadarrama,"N-VI, Guadarrama",Avia,,,40.646096,-4.041064
37917,Madrid,Madrid,"Calle Hilario Herranz Establos, 20",Low Cost Repost,649 376 447,L-D: 24 Horas,40.37267,-3.729208
37918,Vera,Ctra. Vera a Garrucha KM 1.8,BP,601 630 752,L-D: 7:00 a 23:00 horas,37.234583,-1.850611,2020-09-11
37919,Venta del Peral,A-92 Murcia-Granada KM 58,BP,958 730 019,L-D: 6:00 a 00:00 horas,37.553444,-2.614111,2020-09-11
37921,Alicante,Benissa,"Avenida de Europa, 34",MASOIL,,,38.71919,0.060607
37922,Les Borges Blanques,"Pol. Ind. Carrer les Verdunes, parc 49, 25400 Les Borges Blanques, Lleida",Autoreparacio Borges S.L.,973 143 520,L-V: 9:00 a 13:00 y 15:30 a 19:30,41.508718,0.846957,2020-11-13
37923,Guipuzcoa,Elgoibar,"Kalea Valle Aiastia, 907",EE.SS. MLC Elgoibar,943 56 20 92,L-D: 24 horas,43.221318,-2.406668
37924,Benissa,Calle Juan de la Cierva 13,MEROIL,619316110,L-V: 7 A 21H Y S: 8 A 21H,38.726739,0.076634,2021-06-29
37925,Valencia,Sagunto,"Calle Padre Claret, 97",Gasoprix,962 680 889,L-V: 7 A 22H | S: 9 A 22H | D Y FEST: 9 A 14H Y 16 A 21H,39.662459,-0.240228
37926,Ciudad Real,La Solana,"Avenida de los Industriales, 515",Galanes Oil,,L-D: 24 horas,38.93934,-3.25932
37927,Sant FruitŽ$e Bages,"Polïno industrial La BJla, Carrer Barcelona, 60-68",Petro Pinto,938 76 08 28,L-V: 6 A 22: HORAS,41.75417,1.87137,2021-09-01
37928,Velez-Malaga,Calle Ignacio Zuloaga 29,Distreax 22,951 325 417,L-D: 6:00 a 22:00 horas,36.76319,-4.09489,2021-10-05
37930,Asturias,Asturias,"AV PALACIO VALDS n2
 

 RIBADESELLA, 33560
 

 Asturias, EspaDŠ",Repsol,985 86 14 60,6:00³:00,"5u\'39.4\""W","43¹\'03.9\""N"
37931,M!ga,"POLIGONO INDUSTRIAL TREVELEZ, C. Offenbach, S/N, 29010 M!ga",CEPSA,,24 horas,"362\'47.2\""N","4ð\'43.1\""W",2022-08-04
